PMID
39601588
39600394
39600184
39599909
39599883
39599809
39597960
39598316
39597891
39596903
39596862
39596552
39595587
39595012
39594500
39592773
39592027
39590834
39589967
39587352
39585134
39582104
39581785
39580703
39580341
39580033
39579089
39578604
39576781
39576127
39575994
39575583
39575513
39574837
39574217
39572348
39571342
39569188
39569098
39568467
39562810
39560821
39560319
39559920
39559556
39558820
39558292
39558250
39557995
39556251
39554298
39553000
39552393
39551951
39551591
39551439
39550783
39550693
39550105
39549937
39549783
39547729
39545965
39544193
39543596
39542232
39540209
39537445
39537389
39536394
39536123
39536122
39536121
39536120
39536118
39536117
39536116
39534773
39534771
39529893
39526116
39524912
39524607
39524261
39532773
39531278
39529266
39527314
39522688
39521013
39520983
39520297
39518964
39518632
39518437
39516956
39516880
39516528
39516425
39515869
39512484
39511637
39511549
39511082
39510798
39510792
39510073
39508631
39507661
39507365
39507087
39506902
39504683
39500939
39500905
39500417
39499751
39499692
39498382
39497750
39497519
39497076
39497009
39496842
39496183
39495479
39493634
39493249
39493003
39491570
39490617
39490027
39489523
39489522
39489520
39489519
39489518
39489515
39489514
39489282
39483438
39482691
39488359
39488240
39485894
39485635
39482903
39482218
39479770
39479090
39478809
39478711
39477428
39475394
39474404
39474148
39473828
39472619
39472233
39471195
39469684
39469144
39468707
39468090
39465803
39464351
39459851
39459041
39458187
39457567
39457358
39457356
39457266
39456822
39456253
39455598
39455248
39454992
39454250
39451987
39451477
39450880
39450181
39449339
39449018
39447830
39446250
39446164
39445819
39445814
39444797
39444752
39444602
39443935
39441526
39438966
39438926
39438198
39438144
39436613
39436440
39436395
39435694
39435656
39435149
39434957
39434919
39434281
39434179
39433997
39433942
39433402
39430651
39430594
39429966
39429741
39429336
39429158
39428555
39426876
39426837
39425101
39425012
39424264
39423876
39423759
39423742
39422912
39421860
39420307
39419616
39419470
39419167
39418956
39418782
39418080
39417730
39417642
39416495
39415747
39415455
39409138
39407877
39404791
39403255
39402811
39402206
39402205
39400651
39400062
39399934
39399920
39398460
39398386
39396825
39395470
39388147
39393059
39392878
39392635
39392098
39391784
39391697
39391317
39390854
39390853
39389403
39389388
39388619
39386803
39386210
39385068
39384321
39382809
39382736
39382470
39381546
39381125
39380657
39380062
39379918
39379779
39379681
39377521
39376493
39374820
39374592
39374300
39372835
39372136
39371163
39370158
39370044
39369845
39369712
39369205
39369190
39368535
39367848
39367278
39366339
39365220
39364804
39363376
39361178
39361124
39360869
39360535
39358980
39358973
39358543
39358535
39357795
39353473
39356507
39355045
39354691
39354396
39354320
39352725
39352145
39351379
39350480
39350082
39349924
39349781
39349557
39349473
39348850
39348500
39348452
39346769
39345344
39345136
39343334
39342666
39340624
39339976
39338165
39338088
39337879
39337860
39337465
39337096
39337079
39337048
39335603
39335578
39335455
39335454
39334847
39334765
39333538
39333196
39332491
39329868
39328557
39328154
39327301
39327264
39327204
39327050
39326914
39326440
39326415
39326207
39324686
39324381
39323692
39322885
39322271
39321500
39320278
39319349
39317338
39317274
39317224
39316344
39315181
39314791
39314212
39313202
39311897
39311385
39311110
39311094
39310121
39308483
39305184
39301475
39300811
39298002
39302562
39299663
39299642
39299386
39299352
39298620
39296896
39296584
39294767
39294567
39293561
39293298
39291997
39290777
39289865
39287394
39287023
39285602
39285080
39284068
39283441
39283425
39283418
39282763
39280695
39280382
39277496
39276663
39274232
39274228
39273608
39271927
39271699
39271627
39270616
39269503
39268246
39267034
39266971
39266315
39263197
39262242
39261313
39259895
39259107
39258503
39258051
39257875
39257640
39257263
39255548
39254484
39253580
39252866
39252826
39252682
39252604
39251404
39249604
39248006
39247972
39245151
39244203
39243076
39242614
39241905
39240571
39240544
39240511
39240417
39238844
39238359
39237310
39237107
39236463
39234483
39234310
39233251
39232821
39232616
39232147
39232125
39228407
39226091
39225854
39223870
39223825
39223749
39221567
39221194
39221179
39220656
39220224
39218998
39218877
39217829
39215662
39211818
39215197
39214645
39214528
39214242
39214187
39212724
39212062
39211746
39210399
39210315
39209506
39209348
39209013
39208773
39208357
39207648
39206795
39205608
39205240
39205230
39204279
39204242
39202695
39202641
39201991
39201907
39201736
39201353
